"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000215105",303.70731260551,-0.835882818937619,0.255424122511639,-3.27252888536215,0.00106589980452919,0.0547391125422734
"ENSG00000184012",3783.53982105121,-0.939422508487666,0.287873619831265,-3.26331571832911,0.00110116772330305,0.055652667158681
"ENSG00000157388",405.682893021066,-0.90826693564467,0.279600670755205,-3.24844333595992,0.00116038318107964,0.055979697705418
"ENSG00000173442",435.331022095894,0.784715903120124,0.241022453362217,3.25577925281851,0.00113081632919193,0.055979697705418
"ENSG00000198959",1596.20197573563,0.984294610148526,0.302843191252743,3.25017909789185,0.00115332349980789,0.055979697705418
"ENSG00000162645",237.844138109331,0.888916677584159,0.277680593019287,3.20122003456834,0.00136846987823699,0.0650329566015905
"ENSG00000072163",233.11052862094,0.951729642694963,0.299295559309538,3.17989897641837,0.00147326403774185,0.0689834220025009
"ENSG00000205189",338.875094462866,-0.840662783591679,0.266795269516048,-3.15096585151826,0.00162731515174281,0.075092339755784
"ENSG00000120885",928.299452747477,0.83218975090819,0.26540574341089,3.13553783807847,0.00171539297900132,0.0769269189456366
"ENSG00000161970",295.645005795396,0.977611749771981,0.311761046945303,3.13577260325116,0.00171402048766009,0.0769269189456366
"ENSG00000145703",341.389541010823,-0.77699293058687,0.248851928815651,-3.12231026010036,0.0017943772749231,0.0782643457993856
"ENSG00000183723",557.69093098969,-0.719534274059695,0.23032827696793,-3.12395109941226,0.00178440109570222,0.0782643457993856
"ENSG00000130176",1518.8611933612,0.914937255380491,0.294102742873231,3.11094431300446,0.0018649010433371,0.0802411475943961
"ENSG00000188783",450.685080898627,0.792732005226589,0.255321703292746,3.10483595794307,0.00190384580822141,0.0808246007116927
"ENSG00000111799",387.304808857686,0.750517290367392,0.242212439414293,3.09859102274953,0.00194443230471467,0.0814227368948157
"ENSG00000146674",331.147812540598,0.848439119992248,0.274151885287568,3.09477762336848,0.00196960508466006,0.0814227368948157
"ENSG00000182326",1006.99848747643,0.755438381757597,0.244397183040915,3.09102736929307,0.00199465247418204,0.0814227368948157
"ENSG00000050165",377.312053623416,0.751041212533368,0.243780497045837,3.08080925929096,0.00206438847664578,0.0832026950587363
"ENSG00000112796",304.838735401174,-0.791094945311128,0.259215482764301,-3.05188153452413,0.00227411833006081,0.0905099095364204
"ENSG00000155093",521.260690254645,-0.862973433729701,0.283661674844187,-3.0422630558172,0.00234806596370344,0.0922992843016266
"ENSG00000111341",2391.56881851207,0.834814821117569,0.2762298657022,3.02217437276523,0.00250965934122472,0.0923306221709536
"ENSG00000133392",15087.2320253561,0.886093437840236,0.292729344377707,3.02700584980273,0.00246989178512013,0.0923306221709536
"ENSG00000138593",344.037402728022,-0.798694735854159,0.263127042925292,-3.0353958565974,0.00240220168306212,0.0923306221709536
"ENSG00000140545",446.241362343251,0.761395541421841,0.250963870651108,3.03388507455855,0.00241426381258013,0.0923306221709536
"ENSG00000141469",355.940082250404,0.931559705454253,0.308373362850779,3.02088253292173,0.00252039117918284,0.0923306221709536
"ENSG00000147394",282.595569614108,0.97517197781822,0.322841888546629,3.0205868953631,0.00252285305555055,0.0923306221709536
"ENSG00000072195",276.935792490194,0.855845777254292,0.284333736865045,3.01000432340714,0.00261243971083784,0.0934607644866033
"ENSG00000112715",1232.8796253502,-0.946520788176857,0.314395645770568,-3.01060399821055,0.00260728644471725,0.0934607644866033
"ENSG00000112297",720.945326742467,-0.711238828925611,0.237878873277295,-2.9899201182802,0.0027905041322371,0.0955372597531497
"ENSG00000123983",999.863470930016,-0.670129997901205,0.22341254793631,-2.99951817429809,0.00270406990816687,0.0955372597531497
"ENSG00000153234",368.913734379962,-0.75477681206197,0.252274517177395,-2.99188685606015,0.00277259000571083,0.0955372597531497
"ENSG00000162614",237.521820639406,0.966571570377085,0.323233833815343,2.99031682100849,0.00278688225786879,0.0955372597531497
"ENSG00000035862",1125.90279826744,0.656142271303134,0.222332465702854,2.95117615517324,0.0031656631721859,0.0981154871261383
"ENSG00000046604",391.837100779432,-0.711779738879955,0.240529775305797,-2.95921674551534,0.00308422091780877,0.0981154871261383
"ENSG00000049540",245.746771025821,0.747368912323979,0.254310080617966,2.93880962369991,0.00329475383991548,0.0981154871261383
"ENSG00000074527",298.714477235575,0.731234226693184,0.249028868826939,2.93634320445534,0.0033210666439495,0.0981154871261383
"ENSG00000111319",372.818815742208,0.769340643182336,0.262513007827387,2.93067627219528,0.003382250436962,0.0981154871261383
"ENSG00000131771",391.927347587085,0.787890391591302,0.268986993179205,2.92910219293165,0.00339942638024725,0.0981154871261383
"ENSG00000135090",528.759913006212,-0.674658676856861,0.230480581919491,-2.92718228684673,0.00342048337657078,0.0981154871261383
"ENSG00000135678",292.250777428715,0.803014188082365,0.271850136360242,2.95388554456435,0.00313800364119986,0.0981154871261383
"ENSG00000136068",2985.54837084188,-0.628116987108863,0.213936377507521,-2.93599898449613,0.00332475410886181,0.0981154871261383
"ENSG00000143947",332.67143590617,0.90338583211059,0.306065221867088,2.95161216488326,0.0031611970992784,0.0981154871261383
"ENSG00000149273",1027.26348385779,0.687683667420981,0.232916797663574,2.95248635701352,0.00315225999479316,0.0981154871261383
"ENSG00000149451",236.329943514463,0.968266019289555,0.330193574130008,2.93241932960306,0.00336332287176808,0.0981154871261383
"ENSG00000155111",682.128370174817,-0.706642350052147,0.238663114321475,-2.96083603895452,0.00306805222938765,0.0981154871261383
"ENSG00000162896",323.985313106472,1.00914932670229,0.339245731234614,2.97468540880294,0.00293289156214515,0.0981154871261383
"ENSG00000165105",316.091066935177,-0.722844718100343,0.243988723846565,-2.96261526641252,0.00305037575211085,0.0981154871261383
"ENSG00000198380",707.867258386697,-0.66946917437887,0.225182807500724,-2.97300305387087,0.00294901517206407,0.0981154871261383
"ENSG00000227191",394.594719143073,-1.03215412897245,0.351170335259425,-2.93918371040638,0.00329077955199151,0.0981154871261383
"ENSG00000272060",654.74555945097,0.734878205056921,0.250319185735165,2.93576460349473,0.00332726705471837,0.0981154871261383
"ENSG00000142515",66932.256918592,-0.911998013856719,0.312305302458932,-2.92021303089033,0.00349792184545213,0.0994409210349962
"ENSG00000137124",238.599785756369,0.845669079252407,0.290818629041378,2.90789170569979,0.00363874321845777,0.102192182687626
"ENSG00000174099",335.88861414645,0.843280183411799,0.290169464876171,2.90616445038993,0.003658890963062,0.102192182687626
"ENSG00000132688",263.515398053647,0.733100304106229,0.252766498597956,2.90030644160751,0.00372798001418369,0.102336103043453
"ENSG00000134871",1051.74900742236,0.663220715836323,0.228674923950935,2.90027740854798,0.00372832536213586,0.102336103043453
"ENSG00000116132",401.348053019798,0.753939507120109,0.260957143451935,2.88913151465032,0.00386307470499541,0.103737638809147
"ENSG00000116133",2739.02074527952,-0.682630248284314,0.235966028172587,-2.89291748295663,0.00381681558304378,0.103737638809147
"ENSG00000168542",2689.35888354737,0.595446832055663,0.206180406058753,2.88798942362149,0.00387712908865846,0.103737638809147
"ENSG00000115414",2412.87317880944,0.684247770408433,0.238305380358413,2.87130642782518,0.00408779054832711,0.105001733651291
"ENSG00000116406",264.077816733944,-0.757419103969933,0.263134172593023,-2.87845207069093,0.00399632002096223,0.105001733651291
"ENSG00000122786",3694.07619072641,0.69639090345138,0.241787433072014,2.88017824004925,0.0039745040642964,0.105001733651291
"ENSG00000142156",1193.43807733964,0.733165473388128,0.255578331123178,2.86865271467311,0.004122241427893,0.105001733651291
"ENSG00000147065",556.27377524705,0.668401888069301,0.232463406548887,2.87529937718923,0.0040364457255733,0.105001733651291
"ENSG00000182240",333.14126788685,0.735972229741144,0.256422863428709,2.87015057822938,0.0041027637030822,0.105001733651291
"ENSG00000077157",1541.31652946436,0.72677209804961,0.254259495648607,2.85838724015259,0.00425800412463313,0.107599088355809
"ENSG00000095637",1103.84884646889,0.757518213464868,0.266244895415153,2.84519337838826,0.00443844684346036,0.109550501934712
"ENSG00000107796",4232.30445201811,0.828014193605628,0.290825933300505,2.84711264985457,0.00441177476692084,0.109550501934712
"ENSG00000168386",485.532281309777,0.894425881733602,0.313947000687329,2.84897094023966,0.00438608864523968,0.109550501934712
